2025-10-14 12:14:14 | INFO | lift | Moving up from floor 9
2025-10-14 12:14:16 | INFO | lift | Moving down from floor 10
2025-10-14 12:14:18 | INFO | lift | Moving up from floor 9
2025-10-14 12:14:20 | INFO | lift | Moving down from floor 10
2025-10-14 12:14:22 | INFO | lift | Moving up from floor 9
2025-10-14 12:16:40 | INFO | lift | LiftFSM started
2025-10-14 12:16:40 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:17:03 | INFO | lift | Moving up from floor 0
2025-10-14 12:17:05 | INFO | lift | Moving up from floor 1
2025-10-14 12:17:07 | INFO | lift | Moving up from floor 2
2025-10-14 12:17:09 | INFO | lift | Moving up from floor 3
2025-10-14 12:17:11 | INFO | lift | Moving up from floor 4
2025-10-14 12:17:13 | INFO | lift | Moving up from floor 5
2025-10-14 12:17:15 | INFO | lift | Moving up from floor 6
2025-10-14 12:17:17 | INFO | lift | Moving up from floor 7
2025-10-14 12:17:19 | INFO | lift | Moving up from floor 8
2025-10-14 12:17:21 | INFO | lift | Moving up from floor 9
2025-10-14 12:17:23 | INFO | lift | Reached floor ===========================================>10
2025-10-14 12:17:23 | INFO | lift | Waiting at floor 10
2025-10-14 12:17:25 | INFO | lift | State: IDLE | Current floor: 10
2025-10-14 12:17:45 | INFO | lift | Moving down from floor 10
2025-10-14 12:17:47 | INFO | lift | Moving down from floor 9
2025-10-14 12:17:49 | INFO | lift | Moving down from floor 8
2025-10-14 12:17:51 | INFO | lift | Moving down from floor 7
2025-10-14 12:17:53 | INFO | lift | Moving down from floor 6
2025-10-14 12:17:55 | INFO | lift | Reached floor ===========================================>5
2025-10-14 12:17:55 | INFO | lift | Waiting at floor 5
2025-10-14 12:17:57 | INFO | lift | State: IDLE | Current floor: 5
2025-10-14 12:22:00 | INFO | lift | LiftFSM started
2025-10-14 12:22:00 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:22:00 | INFO | lift | State: Sleep | Current floor: 0 fsm in sleep mode
2025-10-14 12:22:18 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:22:18 | INFO | lift | State: Sleep | Current floor: 0 fsm in sleep mode
2025-10-14 12:22:24 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:22:24 | INFO | lift | State: Sleep | Current floor: 0 fsm in sleep mode
2025-10-14 12:23:48 | INFO | lift | LiftFSM started
2025-10-14 12:23:48 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:23:48 | INFO | lift | State: Sleep | Current floor: 0 fsm in sleep mode
2025-10-14 12:23:54 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:23:54 | INFO | lift | Moving up from floor 0
2025-10-14 12:23:56 | INFO | lift | Moving up from floor 1
2025-10-14 12:23:58 | INFO | lift | Moving up from floor 2
2025-10-14 12:24:00 | INFO | lift | Moving up from floor 3
2025-10-14 12:24:02 | INFO | lift | Moving up from floor 4
2025-10-14 12:24:04 | INFO | lift | Reached floor ===========================================>5
2025-10-14 12:24:04 | INFO | lift | Waiting at floor 5
2025-10-14 12:24:04 | INFO | lift | Moving up from floor 5
2025-10-14 12:24:06 | INFO | lift | Moving up from floor 6
2025-10-14 12:24:08 | INFO | lift | Moving up from floor 7
2025-10-14 12:24:10 | INFO | lift | Moving up from floor 8
2025-10-14 12:24:12 | INFO | lift | Moving up from floor 9
2025-10-14 12:24:14 | INFO | lift | Reached floor ===========================================>10
2025-10-14 12:24:14 | INFO | lift | Waiting at floor 10
2025-10-14 12:24:16 | INFO | lift | State: IDLE | Current floor: 10
2025-10-14 12:24:16 | INFO | lift | State: Sleep | Current floor: 10 fsm in sleep mode
2025-10-14 12:24:27 | INFO | lift | State: IDLE | Current floor: 10
2025-10-14 12:24:27 | INFO | lift | Moving down from floor 10
2025-10-14 12:24:29 | INFO | lift | Moving down from floor 9
2025-10-14 12:24:31 | INFO | lift | Moving down from floor 8
2025-10-14 12:24:33 | INFO | lift | Moving down from floor 7
2025-10-14 12:24:35 | INFO | lift | Moving down from floor 6
2025-10-14 12:24:37 | INFO | lift | Reached floor ===========================================>5
2025-10-14 12:24:37 | INFO | lift | Waiting at floor 5
2025-10-14 12:24:39 | INFO | lift | State: IDLE | Current floor: 5
2025-10-14 12:24:39 | INFO | lift | State: Sleep | Current floor: 5 fsm in sleep mode
2025-10-14 12:31:12 | INFO | lift | LiftFSM started
2025-10-14 12:31:12 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:31:12 | INFO | lift | State: Sleep | Current floor: 0 fsm in sleep mode
2025-10-14 12:31:21 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:31:21 | INFO | lift | Moving up from floor 0
2025-10-14 12:31:23 | INFO | lift | Moving up from floor 1
2025-10-14 12:31:25 | INFO | lift | Moving up from floor 2
